FlightNumber,Date,Route,AircraftType,Distance_km,Payload_kg,PassengerCount,FuelUplifted_kg,PlannedFuel_kg,ActualFuel_kg,CG_Position_percent_MAC,DelayMinutes,DelayReason,TaxiOutTime_min,WindComponent_kts,WeatherCondition
AB0081,22-04-2024,SHJ-DOH,A320,1762.6,13560.3,193,8196.6,8222.3,7793.4,28.27,27,ATC,18.4,-4,Rain
AB0082,10-04-2024,SHJ-DOH,A320,1696.5,15409.3,210,7637.2,7809.8,7381.7,29.58,0,Technical,15.9,-24.2,Clear
AB0083,18-02-2024,SHJ-DEL,A321,1931.1,15581.3,189,8732.2,8843.9,8435.7,30.55,0,Technical,22.9,-23.2,Storm
AB0084,14-02-2024,SHJ-CAI,A320,1790.1,14674.8,142,8382.4,8507,8065.8,28.29,59,Technical,14.8,-28,Cloudy
AB0085,21-02-2024,SHJ-CAI,A321,2075.4,15944.5,197,10689,10760.5,10247,28.17,19,None,15.2,-10.5,Rain
AB0086,14-02-2024,SHJ-JED,A321,2240.6,14984.3,240,11295.9,11376.5,11057.2,29.29,16,Late Arrival,21.3,10.2,Fog
AB0087,12-02-2024,SHJ-DEL,A320,1764.6,13201.7,137,7269.1,7458.8,6972.4,27.48,14,None,17.9,-2.2,Rain
AB0088,23-01-2024,SHJ-RUH,A321,2705.4,15969.1,200,10544.2,10736.5,10176,29.58,2,ATC,21,-3.4,Fog
AB0089,25-02-2024,SHJ-CAI,A321,2364.1,17007.3,231,10669.3,10801.7,10231.1,28.83,12,Weather,24,-32.3,Fog
AB0090,15-01-2024,SHJ-DOH,A320,1873.7,13606.7,165,9278.5,9380.8,8959.3,26.64,24,Technical,21.2,12.4,Storm
AB0091,01-01-2024,SHJ-RUH,A320,1738.4,14219.2,169,9577.5,9691.4,9287,28.61,13,Technical,15.8,-17.1,Clear
AB0092,26-03-2024,SHJ-CAI,A321,2414.7,15473.5,212,8799.9,8823.7,8380.4,28.44,17,Late Arrival,25.8,-21,Clear
AB0093,02-04-2024,SHJ-CAI,A321,2089,18381.2,181,7301.2,7376.1,6957.2,27.98,24,Late Arrival,19.2,-28.5,Rain
AB0094,21-02-2024,SHJ-JED,A321,1943.9,17372.5,223,9400.8,9447.3,8916.2,27.47,0,Weather,17.8,-16.3,Cloudy
AB0095,23-02-2024,SHJ-JED,A321,2151.8,16852.1,184,10943.8,11099.6,10652,29.34,19,Late Arrival,20.8,-13.3,Cloudy
AB0096,19-03-2024,SHJ-RUH,A321,2328.5,17829.2,213,10209,10381,9918,28.32,46,Weather,17.8,-41.5,Clear
AB0097,08-02-2024,SHJ-CAI,A320,1825.6,13318.9,181,7347.4,7352.9,7092,27.55,0,Weather,10.1,-8.6,Fog
AB0098,18-03-2024,SHJ-JED,A321,2357.2,16925.5,190,9452.3,9494.4,9152.6,30.5,27,Weather,16.9,-19.6,Storm
AB0099,27-03-2024,SHJ-MCT,A321,2241.7,14458.3,205,8818,8904,8618.2,30.8,22,None,15.1,-11.4,Cloudy
AB0100,25-03-2024,SHJ-DEL,A321,2479.9,17424.6,211,8853.1,8972.7,8483.2,29.9,22,Weather,23.2,-28,Fog
AB0101,12-02-2024,SHJ-DEL,A320,2063.5,14197.6,206,7310.8,7420.7,6837.2,27.35,0,Late Arrival,16.4,-13.6,Cloudy
AB0102,13-04-2024,SHJ-MCT,A320,1904.6,13426.3,164,10142.3,10264.1,9669.5,28.04,12,ATC,21.1,-35.3,Cloudy
AB0103,01-03-2024,SHJ-RUH,A320,1748.5,12331.4,172,8647.2,8825.9,8395.5,26.77,0,Weather,19.1,-4.3,Fog
AB0104,25-01-2024,SHJ-JED,A321,2536.8,16041.1,231,9461.5,9605.7,9178.8,29.65,0,Weather,25.4,0.7,Cloudy
AB0105,19-01-2024,SHJ-JED,A320,1674.9,14395.8,174,8260.7,8327.1,8015.7,27.97,33,None,20.7,-25.6,Clear
AB0106,09-04-2024,SHJ-DOH,A320,1954.3,11151.5,187,6260.3,6304.3,5996.5,26.71,33,ATC,15.7,-14.8,Fog
AB0107,29-02-2024,SHJ-DEL,A320,1790.6,14477,166,6717,6792.3,6317.4,26.44,1,None,25.5,-7.2,Clear
AB0108,28-02-2024,SHJ-MCT,A321,2130.3,16150.7,203,11576.7,11698.3,11238.6,30.03,14,Late Arrival,16.7,-22.9,Fog
AB0109,17-03-2024,SHJ-CAI,A321,2185.7,16462.8,224,9551.9,9647.9,9178.7,29.08,0,Late Arrival,22.6,-14.8,Fog
AB0110,24-02-2024,SHJ-RUH,A321,2399.6,13603.7,240,9360.4,9408.4,8949.6,29.61,0,None,14.9,8.7,Storm
AB0111,27-02-2024,SHJ-CAI,A320,1761.9,14217.4,182,8495.7,8613.9,8180.6,30.4,8,None,19,-4.2,Rain
AB0112,08-04-2024,SHJ-RUH,A321,2421.1,17687,222,8357,8399.7,7893.7,29.3,0,Late Arrival,17.7,-15.1,Rain
AB0113,26-02-2024,SHJ-DEL,A321,2264.3,16921.9,240,9953.5,10101.7,9677.9,30.19,0,Technical,21,-9.5,Rain
AB0114,10-02-2024,SHJ-RUH,A320,1740.5,15375.7,161,8125.6,8226.4,7842.9,26.9,0,ATC,26,-32.7,Cloudy
AB0115,19-02-2024,SHJ-JED,A320,1601.7,11846.6,152,6676.9,6827.4,6212.7,27.31,55,None,22.9,-24.9,Clear
AB0116,23-02-2024,SHJ-DOH,A321,1700.1,18790.9,182,7854.6,8076.6,7452.3,30.38,21,Weather,21,-7.2,Storm
AB0117,08-01-2024,SHJ-MCT,A321,2351.8,16781.2,212,9437.4,9523.4,9212.8,27.31,8,Technical,13.1,-36.6,Fog
AB0118,30-03-2024,SHJ-DEL,A321,2236,17892,228,7929.5,8076.5,7728.5,28.02,5,Weather,20.8,-34.5,Rain
AB0119,08-02-2024,SHJ-DOH,A321,2221.1,15166,197,9819.8,9941.8,9679.1,28.98,21,Weather,19.1,0.5,Fog
AB0120,12-04-2024,SHJ-RUH,A320,1825,13570.6,167,8543.3,8645.3,8238.4,27.3,0,Weather,11,6.2,Rain
AB0121,25-02-2024,SHJ-DOH,A320,1551.2,13307.1,150,8894.9,9057.3,8624.4,27.33,15,Technical,13.8,12.2,Storm
AB0122,02-04-2024,SHJ-MCT,A321,1962.5,16809.8,222,9913.8,10007.3,9632.3,29.04,7,None,22.8,13.2,Fog
AB0123,09-03-2024,SHJ-DEL,A321,2088.5,15130.2,208,12079.7,12261.7,11860.1,30.68,0,Weather,20.8,4.4,Clear
AB0124,11-01-2024,SHJ-JED,A321,2124.2,16296.4,198,8485.2,8524,8250.2,29.03,0,ATC,19.2,-43.3,Storm
AB0125,24-01-2024,SHJ-DEL,A321,2266.2,17333.5,170,9874.1,9913.6,9451.3,30.67,18,Technical,14.5,-20.8,Cloudy
AB0126,28-02-2024,SHJ-CAI,A321,2311.7,16576,220,8579.3,8608.6,8262.4,28.89,0,None,14.3,-1.5,Storm
AB0127,05-02-2024,SHJ-DOH,A321,2418.3,17109.1,188,9183.6,9290.7,8762.3,31.32,17,None,19,-24.6,Storm
AB0128,03-01-2024,SHJ-JED,A320,1826.7,13847.5,179,8956.7,8990.1,8735.3,26.16,20,None,12.5,-52.3,Rain
AB0129,29-01-2024,SHJ-JED,A320,1877.7,16493,164,8838.5,8933.5,8530.3,28.92,4,None,19.3,-15.2,Clear
AB0130,06-04-2024,SHJ-DEL,A320,1666.4,14992,161,7244.3,7299.3,6890.6,28.03,9,ATC,23.4,-12.9,Clear
AB0131,20-03-2024,SHJ-MCT,A320,1795,14817.8,192,8557.8,8592.2,8256.8,26.93,3,ATC,15,-22.8,Clear
AB0132,13-03-2024,SHJ-MCT,A321,2211.3,17029.7,208,9986.5,9987.7,9680.1,28.06,7,Late Arrival,12,-11,Rain
AB0133,22-01-2024,SHJ-RUH,A320,2106.2,15218.8,160,9490.7,9573.9,9175.9,27.39,3,None,16.1,-17.4,Cloudy
AB0134,09-02-2024,SHJ-DEL,A320,1832.1,14003,173,9190.6,9216.4,8795.7,25.45,28,None,11.2,-23.4,Fog
AB0135,27-03-2024,SHJ-DOH,A321,1966,14698,220,10259.2,10229.6,10016.8,28.45,17,None,10.6,-17.2,Cloudy
AB0136,10-01-2024,SHJ-RUH,A320,1796.9,14579.3,167,7026.9,7119,6607.3,27.97,0,ATC,15.8,-33.3,Rain
AB0137,18-04-2024,SHJ-JED,A320,1765.4,15711.7,137,6386.4,6476,5939.3,27.33,30,None,15,7.4,Fog
AB0138,10-04-2024,SHJ-DEL,A321,2335.6,16012.1,240,8894.3,9009.2,8520.1,30.3,41,Weather,18.2,-31.3,Rain
AB0139,09-01-2024,SHJ-RUH,A321,2292,15822.3,240,9636.5,9745.8,9373.1,27.65,0,ATC,24,-29.9,Storm
AB0140,15-04-2024,SHJ-DOH,A320,1590.6,14536.7,188,8719,8781.1,8319.3,26.58,40,Weather,16.4,-23.8,Rain
AB0141,22-03-2024,SHJ-DOH,A320,2065.6,14556.2,174,10165,10311.4,9929.4,28.06,15,Weather,25.6,-12.4,Fog
AB0142,24-03-2024,SHJ-CAI,A321,2307.7,17572.5,202,8660.8,8662.5,8465.3,31.06,0,Weather,16.9,-24.2,Fog
AB0143,04-02-2024,SHJ-CAI,A320,1861.5,14815.7,182,7416.9,7531.1,7133.6,27.75,42,None,20.5,-9,Clear
AB0144,05-02-2024,SHJ-DOH,A320,1932.6,15173.5,168,6703.2,6770.6,6363.2,27.47,21,None,24.2,-19.7,Fog
AB0145,19-03-2024,SHJ-JED,A321,2261.8,18202.2,214,12101.7,12113.6,11745.1,29.75,17,Technical,24.4,-9.9,Storm
AB0146,18-04-2024,SHJ-CAI,A320,1772.3,12775.7,160,7149.5,7278.9,6907.5,29.67,17,Weather,12,-13.3,Rain
AB0147,12-04-2024,SHJ-CAI,A321,2439.3,15890.2,207,9514.7,9647.1,9293.2,28.88,18,Technical,13.6,-26.6,Fog
AB0148,30-03-2024,SHJ-CAI,A320,1944.5,13627.2,199,7600.4,7747,7277.9,26.58,0,Weather,10.4,-1.1,Cloudy
AB0149,11-01-2024,SHJ-MCT,A321,2089.6,19058.2,198,9684.6,9884.9,9230.3,31.06,34,Weather,23.1,-11.1,Cloudy
AB0150,29-03-2024,SHJ-DOH,A321,2355.7,15948.8,193,9496.6,9574,9213.6,29.7,29,Weather,18.4,2.2,Clear
AB0151,12-01-2024,SHJ-CAI,A320,1571.7,13806.3,150,6133.5,6227.4,5841.7,29.51,22,Weather,12.9,7.8,Cloudy
AB0152,09-02-2024,SHJ-JED,A321,2444.2,17082.1,205,8540.6,8695,8277.8,30.88,40,Weather,15.6,-36.8,Fog
AB0153,14-02-2024,SHJ-DOH,A321,2228.2,14731.6,216,9352.4,9372.7,9099,29.51,0,Technical,12.2,-63.1,Storm
AB0154,04-02-2024,SHJ-CAI,A321,2194.5,18272.3,240,9042.9,9166.3,8803.1,28,16,Technical,21.8,-1.6,Cloudy
AB0155,10-02-2024,SHJ-DEL,A320,1780,13796.3,147,7173.1,7291.5,6895.8,28.91,0,ATC,25.5,-24.1,Storm
AB0156,05-02-2024,SHJ-JED,A321,2195.7,15752.8,161,10384,10470,10010.4,29.07,20,None,10.2,-27.9,Cloudy
AB0157,07-02-2024,SHJ-MCT,A321,2358.9,15245.7,215,8143.4,8241.6,7796.8,27.38,33,ATC,14.3,-32.2,Clear
AB0158,31-03-2024,SHJ-RUH,A320,1840.1,15148.6,144,8061.7,8196.3,7718.8,28.18,2,Technical,13.9,-18.7,Clear
AB0159,11-03-2024,SHJ-CAI,A320,1585.6,11078.6,173,8903.9,8953.4,8840.2,28.62,51,Late Arrival,18.1,-30.9,Storm
AB0160,14-01-2024,SHJ-DEL,A321,2163.4,17874.9,197,8700.8,8753.1,8449.1,29.12,42,Weather,19.6,-23.8,Storm
AB0161,13-02-2024,SHJ-MCT,A320,1741.6,12436.8,182,7922.2,8181.8,7640.2,28.3,0,Technical,15.9,-2.8,Storm
AB0162,15-01-2024,SHJ-DEL,A321,2222.7,15061.7,228,8831.9,8985.9,8344.5,28.55,35,Weather,18.3,-7.2,Fog
AB0163,21-03-2024,SHJ-JED,A320,1896.9,13153.6,152,9030,9109.8,8763.4,27.04,18,ATC,28.3,-36,Fog
AB0164,08-02-2024,SHJ-DEL,A320,1804.8,15412.2,163,8452.4,8573.8,8258.6,27.81,29,ATC,23.9,18.8,Storm
AB0165,18-03-2024,SHJ-RUH,A320,1915.9,14325.8,168,7646.8,7732.1,7313,28.17,36,None,13,-2.9,Storm
AB0166,27-02-2024,SHJ-DOH,A321,2463.4,16381.9,167,8892.2,8991,8462.5,28,0,None,22.2,-11.8,Storm
AB0167,09-02-2024,SHJ-RUH,A320,1752.2,13633.2,157,7077.6,7161.5,6616.1,29.22,40,Late Arrival,23,-26.5,Clear
AB0168,07-04-2024,SHJ-MCT,A320,1880.7,13975.8,146,8324.4,8483.7,8142.3,27.54,14,Technical,19.4,-23.9,Clear
AB0169,21-01-2024,SHJ-MCT,A320,1917.3,13525.1,182,6654,6851,6341.4,27,0,Weather,20.6,-17.3,Cloudy
AB0170,01-01-2024,SHJ-DOH,A321,2270.1,16989.2,222,10609.7,10697.6,10268.7,29.67,47,Late Arrival,17.3,-34.6,Storm
AB0171,07-02-2024,SHJ-DEL,A320,2021.4,13879.6,121,8847.4,8942.9,8601,28.33,13,Technical,21.5,-26.5,Rain
AB0172,30-03-2024,SHJ-DOH,A320,1902.6,13740.5,179,8615.4,8769.7,8408.9,27.46,26,Late Arrival,19.8,7.6,Rain
AB0173,10-04-2024,SHJ-JED,A320,1755.3,13650.7,164,7696.8,7716,7316.8,26.95,0,Weather,22.8,5.7,Fog
AB0174,29-01-2024,SHJ-JED,A320,1779.1,13831.2,166,9161.9,9273.8,8954.6,28.98,20,None,18.9,-5,Cloudy
AB0175,10-01-2024,SHJ-DEL,A320,1259.4,14677.9,151,6169.4,6338.1,5818.2,27.86,29,None,26.1,-0.3,Fog
AB0176,05-04-2024,SHJ-RUH,A321,2528,17242.1,211,7898,7955.9,7622.6,31.17,6,Weather,18.6,-11.7,Storm
AB0177,29-03-2024,SHJ-CAI,A321,2208.7,18195.1,197,9694.6,9728.6,9468.9,28.39,9,None,15.9,-30.4,Fog
AB0178,10-03-2024,SHJ-DOH,A321,1918.7,16416.9,179,10260.1,10287.2,9951.8,28.69,0,ATC,19.6,0.1,Clear
AB0179,23-04-2024,SHJ-DOH,A321,1825,16615,206,10171.3,10233.7,9850,28.68,0,Late Arrival,23.4,-19.7,Clear
AB0180,12-01-2024,SHJ-MCT,A320,2180.2,13939.3,150,6486.3,6507.1,6366.6,28.27,20,None,10.1,-6.6,Rain
AB0181,14-03-2024,SHJ-DEL,A320,1703.4,14146.8,197,8896.8,8952.3,8623.7,25.85,0,Weather,16.9,-34.8,Storm
AB0182,27-04-2024,SHJ-CAI,A320,1773.7,14076.9,160,7350,7472.1,7033.1,26.91,38,None,17.5,-19.7,Storm
AB0183,22-03-2024,SHJ-DOH,A320,1941.6,14233.2,184,8287.1,8405.2,8048.4,26.86,12,Weather,17.8,-23.1,Storm
AB0184,12-02-2024,SHJ-CAI,A320,1774.3,12118.2,154,8092.8,8141.5,7776.9,29.27,0,None,22.8,-13.6,Rain
AB0185,22-02-2024,SHJ-JED,A321,2070.8,18275.3,186,10419.2,10485.6,10019.1,30.39,4,Technical,19.4,-16.1,Storm
AB0186,14-04-2024,SHJ-RUH,A320,1773.1,14810.8,180,6251.5,6268.3,5821,29.03,32,Weather,12.5,-26.2,Rain
AB0187,02-02-2024,SHJ-CAI,A320,1578.9,13785.1,158,8779.7,8949.4,8348.6,27.44,5,None,9.6,-32.1,Storm
AB0188,20-04-2024,SHJ-RUH,A320,1993,15615.6,140,7407.5,7521.5,7110.2,27.19,18,Late Arrival,15.6,-20.2,Fog
